Host	Speed(B/s)
h9	267767109.295199
h38	393875741.867628
h2	243498130.645798
h4	213982001.101973
h5	260153823.252121
h3	313391314.743417
h14	387987863.538814
h8	468553554.671791
h10	483548997.002536
h36	496202915.010411
h21	495055002.124546
h12	441078534.471880
h15	428199934.661875
h29	480998165.137615
h27	469518649.532083
h22	460548137.737175
h13	464547226.652490
h11	421013410.423191
h7	364937876.309470
h6	367058494.066580
h222	519843339.447722
h33	563811162.490590
h32	513982647.909416
h17	515169499.852609
h20	428584975.067441
h18	481064366.655962
h42	456259681.489862
h16	433600463.135260
h19	453850415.512465
h30	486917111.678663
h23	492543567.100380
h59	488459495.970559
h155	383728317.353436
h221	440485612.266331
h228	408737818.663756
h225	412095107.093732
h226	468930727.606100
h111	477537116.312961
h231	454558696.029131
h202	429691431.381388
h223	446887146.266621
h229	485361970.005554
h230	432224237.427865
h40	121014206.742144
h41	372112566.095319
h96	335308262.982860
h24	365599525.818486
h48	364481212.416142
