PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=96.0 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=66.6 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=73.2 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=47.5 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=63.2 ms
64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=63.1 ms
64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=77.2 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=57.8 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=72.1 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=57.4 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=51.7 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=56.3 ms
64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=47.2 ms
64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=66.7 ms
64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=52.0 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=49.0 ms
64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=59.9 ms
64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=52.1 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=54.3 ms
64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=52.9 ms
64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=52.7 ms
64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=64.9 ms
64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=61.9 ms
64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=57.1 ms
64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=48.2 ms
64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=59.1 ms
64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=59.7 ms
64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=61.4 ms
64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=57.0 ms
64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=61.1 ms
64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=52.6 ms
64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=52.5 ms
64 bytes from 10.0.0.2: icmp_seq=33 ttl=64 time=48.5 ms
64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=52.7 ms
64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=61.8 ms
64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=104 ms
64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=48.7 ms
64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=78.5 ms
64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=61.9 ms
64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=66.7 ms
64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=59.3 ms
64 bytes from 10.0.0.2: icmp_seq=42 ttl=64 time=70.1 ms
64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=47.8 ms
64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=49.4 ms
64 bytes from 10.0.0.2: icmp_seq=45 ttl=64 time=58.0 ms
64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=52.6 ms
64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=53.1 ms
64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=51.6 ms
64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=66.2 ms
64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=85.5 ms

--- 10.0.0.2 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49214ms
rtt min/avg/max/mdev = 47.220/60.479/104.646/11.860 ms
